"timepoint","id","n","dist.mean","dist.95","split.ids","n.split","dist.mean.split","dist.95.split","nearest.neighbor","dist.nearest.neighbor","first.detected"
"2024_Mar","1C.2","512","0.03","0.05","1C.2",507,0.03,0.048,"1C.24",0.045,2018
"","",NA,NA,NA,"1C.24",5,0.003,0.007,"1C.2",0.045,2022
"2024_Mar","1C.3","889","0.046","0.08","1C.3",728,0.037,0.061,"1C.26",0.035,2015
"","",NA,NA,NA,"1C.25",97,0.037,0.063,"1C.26",0.046,2021
"","",NA,NA,NA,"1C.26",53,0.021,0.041,"1C.3",0.035,2021
"","",NA,NA,NA,"1C.27",11,0.046,0.071,"1C.3",0.045,2021
"2024_Mar","1E.1","578","0.044","0.076","1E.1",518,0.04,0.075,"1E.6",0.033,2015
"","",NA,NA,NA,"1E.6",60,0.008,0.03,"1E.1",0.033,2021
"2024_Mar","1H.9","626","0.031","0.055","1H.9",612,0.03,0.051,"1H.32",0.033,2017
"","",NA,NA,NA,"1H.33",6,0.011,0.019,"1H.9",0.046,2021
"","",NA,NA,NA,"1H.32",8,0.015,0.05,"1H.9",0.036,2022
"2024_Mar.1","1C.9","99","0.043","0.066","1C.9",94,0.041,0.06,NA,NA,2015
"","","","","","1C.28",5,0.054,0.091,"1C.5",0.08,2021
