"variant.id","lineage","seqs.since.2015","seqs.past.12-24.months","seqs.past.12.months","percent.12-24 months","percent.12 months","first.occurrence","last.detected","relative.occurrence","occurrence.trend","vaccine","recombinant.orign","recombinant.origin"
"10.1","10",0,0,0,0,0,2010,2011,"","rare or extinct","","",""
"1A.1","1A",24,0,0,0,0,2006,2018,"","rare or extinct","","",""
"1A.10","1A",84,0,0,0,0,2017,2019,"","rare or extinct","","",""
"1A.12","1A",41,0,0,0,0,2017,2018,"","rare or extinct","","",""
"1A.14","1A",71,0,0,0,0,2018,2021,"","rare or extinct","","",""
"1A.15","1A",35,0,0,0,0,2017,2018,"","rare or extinct","","",""
"1A.16","1A",136,0,0,0,0,2016,2018,"","rare or extinct","","",""
"1A.20","1A",18,0,0,0,0,2017,2021,"","rare or extinct","","",""
"1A.21","1A",27,0,0,0,0,2016,2020,"","rare or extinct","","",""
"1A.22","1A",10,0,0,0,0,2018,2022,"","rare or extinct","","",""
"1A.23","1A",13,0,0,0,0,2020,2023,"","rare or extinct","","",""
"1A.24","1A",16,0,0,0,0,2021,2022,"","rare or extinct","","",""
"1A.25","1A",46,0,0,0,0,2019,2022,"","rare or extinct","","",""
"1A.26","1A",37,0,0,0,0,2016,2021,"","rare or extinct","","",""
"1A.27","1A",23,0,0,0,0,2018,2021,"","rare or extinct","","",""
"1A.3","1A",55,0,0,0,0,2016,2018,"","rare or extinct","","",""
"1A.31","1A",414,0,0,0,0,2015,2022,"","rare or extinct","","",""
"1A.35","1A",50,0,0,0,0,2018,2023,"","rare or extinct","","",""
"1A.36","1A",260,0,0,0,0,2016,2023,"","rare or extinct","","",""
"1A.37","1A",6,0,0,0,0,2019,2021,"","rare or extinct","","",""
"1A.38","1A",72,0,0,0,0,2018,2021,"","rare or extinct","","",""
"1A.4","1A",6,0,0,0,0,2018,2019,"","rare or extinct","","",""
"1A.42","1A",23,0,0,0,0,2019,2021,"","rare or extinct","","",""
"1A.43","1A",6,0,0,0,0,2021,2022,"","rare or extinct","","",""
"1A.47","1A",10,0,0,0,0,2021,2023,"","rare or extinct","","",""
"1A.51","1A",8,0,0,0,0,2019,2021,"","rare or extinct","","",""
"1A.6","1A",16,0,0,0,0,2018,2019,"","rare or extinct","","",""
"1A.7","1A",45,0,0,0,0,2019,2023,"","rare or extinct","","",""
"1A.8","1A",51,0,0,0,0,2017,2021,"","rare or extinct","","",""
"1A.9","1A",57,0,0,0,0,2016,2021,"","rare or extinct","","",""
"1B-unclassified","1B",59,0,0,0,0,2006,2021,"","","","",""
"1B.1","1B",47,0,0,0,0,2013,2021,"","rare or extinct","","",""
"1B.12","1B",36,0,0,0,0,2016,2021,"","rare or extinct","","",""
"1B.13","1B",16,0,0,0,0,2018,2020,"","rare or extinct","","",""
"1B.14","1B",8,0,0,0,0,2018,2018,"","rare or extinct","","",""
"1B.15","1B",10,0,0,0,0,2018,2019,"","rare or extinct","","",""
"1B.16","1B",14,0,0,0,0,2019,2021,"","rare or extinct","","",""
"1B.17","1B",16,0,0,0,0,2021,2021,"","rare or extinct","","",""
"1B.2","1B",18,0,0,0,0,2015,2017,"","rare or extinct","","",""
"1B.3","1B",11,0,0,0,0,2012,2018,"","rare or extinct","","",""
"1B.4","1B",14,0,0,0,0,2011,2017,"","rare or extinct","","",""
"1B.5","1B",18,0,0,0,0,2015,2020,"","rare or extinct","","",""
"1B.6","1B",69,0,0,0,0,2011,2019,"","rare or extinct","","",""
"1B.7","1B",14,0,0,0,0,2015,2016,"","rare or extinct","","",""
"1B.8","1B",37,0,0,0,0,2014,2017,"","rare or extinct","","",""
"1B.9","1B",7,0,0,0,0,2015,2017,"","rare or extinct","","",""
"1C.1","1C",322,0,0,0,0,2015,2019,"","rare or extinct","","",""
"1C.10","1C",26,0,0,0,0,2015,2017,"","rare or extinct","","",""
"1C.14","1C",43,0,0,0,0,2015,2019,"","rare or extinct","","",""
"1C.15","1C",38,0,0,0,0,2016,2020,"","rare or extinct","","",""
"1C.17","1C",17,0,0,0,0,2015,2018,"","rare or extinct","","",""
"1C.18","1C",16,0,0,0,0,2018,2020,"","rare or extinct","","",""
"1C.19","1C",10,0,0,0,0,2019,2021,"","rare or extinct","","",""
"1C.2.24","1C",5,0,0,0,0,2022,2023,"","rare or extinct","","",""
"1C.20","1C",5,0,0,0,0,2019,2021,"","rare or extinct","","",""
"1C.21","1C",18,0,0,0,0,2020,2022,"","rare or extinct","","",""
"1C.22","1C",9,0,0,0,0,2020,2020,"","rare or extinct","","",""
"1C.3.29","1C",6,0,0,0,0,2021,2022,"","rare or extinct","","",""
"1C.41","1C",13,0,0,0,0,2015,2019,"","rare or extinct","","",""
"1C.42","1C",12,0,0,0,0,2015,2019,"","rare or extinct","","",""
"1C.6","1C",134,0,0,0,0,2015,2020,"","rare or extinct","","",""
"1C.7","1C",16,0,0,0,0,2015,2021,"","rare or extinct","","",""
"1C.8","1C",29,0,0,0,0,2015,2023,"","rare or extinct","","",""
"1D-unclassified","1D",12,0,0,0,0,2004,2021,"","","","",""
"1D.3","1D",6,0,0,0,0,2011,2019,"","rare or extinct","","",""
"1E.1.7","1E",19,0,0,0,0,2021,2022,"","rare or extinct","","",""
"1E.2","1E",6,0,0,0,0,2014,2016,"","rare or extinct","","",""
"1E.3","1E",73,0,0,0,0,2007,2021,"","rare or extinct","","",""
"1E.9","1E",5,0,0,0,0,2015,2018,"","rare or extinct","","",""
"1F-unclassified","1F",1,0,0,0,0,2012,2020,"","","","",""
"1H.11.50","1H",14,0,0,0,0,2022,2023,"","rare or extinct","","",""
"1H.14","1H",23,0,0,0,0,2015,2018,"","rare or extinct","","",""
"1H.15","1H",63,0,0,0,0,2015,2018,"","rare or extinct","","",""
"1H.16","1H",6,0,0,0,0,2017,2020,"","rare or extinct","","",""
"1H.19","1H",12,0,0,0,0,2016,2018,"","rare or extinct","","",""
"1H.20","1H",17,0,0,0,0,2015,2018,"","rare or extinct","","",""
"1H.22","1H",12,0,0,0,0,2018,2019,"","rare or extinct","","",""
"1H.24","1H",11,0,0,0,0,2019,2022,"","rare or extinct","","",""
"1H.25","1H",17,0,0,0,0,2020,2021,"","rare or extinct","","",""
"1H.26","1H",32,0,0,0,0,2018,2021,"","rare or extinct","","",""
"1H.27","1H",30,0,0,0,0,2020,2023,"","rare or extinct","","","1H/1A (within ORF5)"
"1H.3","1H",34,0,0,0,0,2016,2020,"","rare or extinct","","",""
"1H.31","1H",17,0,0,0,0,2021,2023,"","rare or extinct","","",""
"1H.36.52","1H",10,0,0,0,0,2021,2023,"","rare or extinct","","",""
"1H.37","1H",47,0,0,0,0,2015,2021,"","rare or extinct","","",""
"1H.39","1H",31,0,0,0,0,2015,2023,"","rare or extinct","","",""
"1H.4","1H",78,0,0,0,0,2018,2021,"","rare or extinct","","",""
"1H.41","1H",9,0,0,0,0,2016,2022,"","rare or extinct","","",""
"1H.6","1H",14,0,0,0,0,2016,2019,"","rare or extinct","","",""
"1H.8","1H",52,0,0,0,0,2015,2021,"","rare or extinct","","",""
"1H.9.33","1H",17,0,0,0,0,2021,2023,"","rare or extinct","","",""
"1I-unclassified","1I",0,0,0,0,0,2003,2005,"","","","",""
"1I.1","1I",0,0,0,0,0,2003,2010,"","rare or extinct","","",""
"1K-unclassified","1K",3,0,0,0,0,2016,2022,"","","","",""
"1K.2","1K",50,0,0,0,0,2015,2023,"","rare or extinct","","",""
"1K.3","1K",5,0,0,0,0,2021,2021,"","rare or extinct","","",""
"1L-unclassified","1L",7,0,0,0,0,2015,2022,"","","","",""
"2-unclassified","2",2,0,0,0,0,2001,2023,"","","","",""
"2.1","2",0,0,0,0,0,2002,2003,"","rare or extinct","","",""
"2.2","2",0,0,0,0,0,2002,2006,"","rare or extinct","","",""
"2.3","2",0,0,0,0,0,2003,2004,"","rare or extinct","","",""
"2.4","2",0,0,0,0,0,2002,2006,"","rare or extinct","","",""
"2.5","2",0,0,0,0,0,2009,2012,"","rare or extinct","","",""
"4-unclassified","4",3,0,0,0,0,2002,2021,"","","","",""
"5A-unclassified","5A",6,0,0,0,0,2018,2019,"","","","",""
"5B-unclassified","5B",0,0,0,0,0,1999,2008,"","","","",""
"6-unclassified","6",0,0,0,0,0,2000,2011,"","","","",""
"6.1","6",36,0,0,0,0,2006,2022,"","rare or extinct","","",""
"8A.1","8A",928,0,0,0,0,2015,2023,"","rare or extinct","BI ATP-like","",""
"8B-unclassified","8B",1,0,0,0,0,2003,2015,"","","","",""
"8B.1","9A",0,0,0,0,0,2006,2009,"","rare or extinct","","",""
"8B.2","8B",0,0,0,0,0,2004,2005,"","rare or extinct","","",""
"8B.3","8B",0,0,0,0,0,2002,2004,"","rare or extinct","","",""
"8B.4","8B",0,0,0,0,0,2007,2009,"","rare or extinct","","",""
"8C-unclassified","8C",2,0,0,0,0,2021,2021,"","","","",""
"8D-unclassified","undetermined",3,0,0,0,0,2009,2016,"","","","",""
"9A-unclassified","9A",4,0,0,0,0,2000,2021,"","","","",""
"9A.1","9A",0,0,0,0,0,2008,2013,"","rare or extinct","","",""
"9B-unclassified","9B",0,0,0,0,0,2000,2006,"","","","",""
"9B.1","9B",0,0,0,0,0,2004,2007,"","rare or extinct","","",""
"9B.2","9B",0,0,0,0,0,2002,2007,"","rare or extinct","","",""
"9C-unclassified","9C",0,0,0,0,0,2002,2014,"","","","",""
"9C.1","9C",15,0,0,0,0,2001,2017,"","rare or extinct","","",""
"9D-unclassified","9D",4,0,0,0,0,2003,2017,"","","","",""
"9D.1","9D",0,0,0,0,0,2003,2005,"","rare or extinct","","",""
"9D.2","9D",0,0,0,0,0,2009,2010,"","rare or extinct","","",""
"9D.3","undetermined",0,0,0,0,0,2001,2003,"","rare or extinct","","",""
"9D.4","9D",0,0,0,0,0,2009,2009,"","rare or extinct","","",""
