"timepoint","id","n","dist.mean","dist.95","split.ids","n.split","dist.mean.split","dist.95.split","nearest.neighbor","dist.nearest.neighbor","first.detected"
"2024_Mar","1C.2","512","0.03","0.05","1C.2",507,0.03,0.048,"1C.24",0.045,2018
"","",NA,NA,NA,"1C.2.24",5,0.003,0.007,"1C.2",0.045,2022
"2024_Mar","1C.3","889","0.046","0.08","1C.3",728,0.037,0.061,"1C.26",0.035,2015
"","",NA,NA,NA,"1C.3.25",97,0.037,0.063,"1C.26",0.046,2021
"","",NA,NA,NA,"1C.3.26",53,0.021,0.041,"1C.3",0.035,2021
"","",NA,NA,NA,"1C.3.27",11,0.046,0.071,"1C.3",0.045,2021
"2024_Mar","1E.1","578","0.044","0.076","1E.1",518,0.04,0.075,"1E.6",0.033,2015
"","",NA,NA,NA,"1E.1.6",60,0.008,0.03,"1E.1",0.033,2021
"2024_Mar","1H.9","626","0.031","0.055","1H.9",612,0.03,0.051,"1H.32",0.033,2017
"","",NA,NA,NA,"1H.9.33",6,0.011,0.019,"1H.9",0.046,2021
"","",NA,NA,NA,"1H.9.32",8,0.015,0.05,"1H.9",0.036,2022
"2024_Mar.1","1C.9","99","0.043","0.066","1C.9",94,0.041,0.06,NA,NA,2015
"","",NA,NA,NA,"1C.9.28",5,0.054,0.091,"1C.5",0.08,2021
"2024_Jun","1C.3","740","0.037","0.063","1C.3",734,0.037,0.061,"1C.26",0.01,2015
"","",NA,NA,NA,"1C.3.29",6,0.012,0.022,"1C.26",0.042,2021
"2024_Jun","1H.9","644","0.03","0.053","1H.9",628,0.029,0.048,"1H.32",0.033,2017
"","",NA,NA,NA,"1H.9.34",16,0.026,0.043,"1H.31",0.05,2021
"2024_Jun","8C.1","981","0.016","0.043","8C.1.2",41,0.019,0.043,"8C.1",0.015,2021
"","",NA,NA,NA,"8C.1",940,0.014,0.036,"8C.2",0.018,2021
"2024_Jun","1C.25","114","0.039","0.065","1C.3.25",38,0.024,0.042,"1C.31",0.03,2021
"","",NA,NA,NA,"1C.25.30",54,0.01,0.022,"1C.25",0.035,2022
"","",NA,NA,NA,"1C.25.31",22,0.007,0.015,"1C.25",0.03,2022
"2024_Jun","1H.11","634","0.035","0.06","1H.11",524,0.03,0.055,"1H.35",0.032,2018
"","",NA,NA,NA,"1H.11.35",110,0.02,0.04,"1H.11",0.033,2021
"2024_Sep","1A.13","68","0.039","0.067","1A.13",60,0.034,0.055,"1A.7",0.051,2017
"","",NA,NA,NA,"1A.13.49",8,0.002,0.005,"1A.13",0.053,2024
"2024_Sep","1D.2","827","0.016","0.038","1D.2",819,0.015,0.033,"1D.4",0.045,2007
"","",NA,NA,NA,"1D.2.4",8,0.015,0.025,"1D.2",0.046,2024
"2024_Sep","1E.1","524","0.04","0.075","1E.1",518,0.04,0.075,"1E.7",0.015,2015
"","",NA,NA,NA,"1E.1.7",6,0.018,0.03,"1E.1",0.015,2021
"2024_Dec","1A.2","1027","0.035","0.055","1A.2",1018,0.035,0.053,"1A.52",0.053,2017
"","",NA,NA,NA,"1A.2.52",9,0.023,0.04,"1A.2",0.053,2022
"2024_Dec","1C.5","4481","0.03","0.05","1C.5",2991,0.024,0.04,"1C.4",0.028,2015
"","",NA,NA,NA,"1C.5.33",295,0.02,0.038,"1C.5",0.03,2021
"","",NA,NA,NA,"1C.5.34",220,0.018,0.032,"1C.5",0.035,2021
"","",NA,NA,NA,"1C.5.35",130,0.018,0.033,"1C.5",0.036,2022
"","",NA,NA,NA,"1C.5.36",90,0.022,0.041,"1C.5",0.04,2022
"","",NA,NA,NA,"1C.5.37",85,0.015,0.028,"1C.5",0.035,2022
"","",NA,NA,NA,"1C.5.38",58,0.015,0.035,"1C.5",0.036,2022
"","",NA,NA,NA,"1C.5.32",482,0.011,0.02,"1C.5",0.033,2023
"2024_Dec","1C.2","754","0.034","0.055","1C.2",722,0.033,0.051,"1C.39",0.051,2018
"","",NA,NA,NA,"1C.2.39",26,0.025,0.05,"1C.2",0.051,2023
"","",NA,NA,NA,"1C.2.40",6,0.006,0.013,"1C.2",0.05,2023
"2024_Dec","1E.5","49","0.034","0.07","1E.5",35,0.015,0.05,"1E.8",0.06,2021
"","",NA,NA,NA,"1E.5.8",14,0.018,0.037,"1E.5",0.06,2023
"2024_Dec.1","1F.1","81","0.046","0.101","1F.1",75,0.039,0.082,"1F.2",0.088,2001
"","",NA,NA,NA,"1F.1.2",6,0.08,0.109,"1F.1",0.088,2017
"2025_Mar","1H.11","689","0.033","0.058","1H.11",663,0.032,0.057,"1H.11.50",0.047,2018
"","",NA,NA,NA,"1H.11.50",26,0.031,0.052,"1H.11",0.047,2022
"2025_Mar","1H.9","697","0.03","0.051","1H.9",680,0.029,0.048,"1H.9.51",0.048,2017
"","",NA,NA,NA,"1H.9.51",17,0.007,0.017,"1H.9",0.048,2024
"2025_Mar","1L.2","167","0.033","0.055","1L.2",148,0.03,0.05,"1L.2.5",0.046,2018
"","",NA,NA,NA,"1L.2.5",19,0.024,0.041,"1L.2",0.046,2022
"2025_Mar","1H.36","79","0.042","0.073","1H.36",74,0.04,0.07,"1H.36.52",0.06,2015
"","",NA,NA,NA,"1H.36.52",5,0.039,0.08,"1H.36",0.06,2022
"2025_Jun","1A.2","1177","0.037","0.058","1A.2",1106,0.035,0.055,"1A.23",0.045,2017
"","",NA,NA,NA,"1A.2.57",17,0.035,0.061,"1A.2",0.048,2022
"","",NA,NA,NA,"1A.2.56",54,0.015,0.038,"1A.2",0.052,2023
"2025_Jun","1E.12","36","0.048","0.09","1E.12",29,0.039,0.077,"1E.12.13",0.073,2015
"","",NA,NA,NA,"1E.12.13",7,0.005,0.008,"1E.12",0.073,2024
"2025_Jun","1K.1","104","0.058","0.086","1K.1",82,0.059,0.086,"1K.1.5",0.065,2016
"","",NA,NA,NA,"1K.1.5",22,0.015,0.051,"1K.1",0.065,2022
"2025_Jun","1H.46","40","0.034","0.065","1H.46",35,0.028,0.046,"1H.46.54",0.056,2017
"","",NA,NA,NA,"1H.46.54",5,0.011,0.02,"1H.46",0.056,2022
"2025_Sep","1A.2","1160","0.036","0.055","1A.2",1155,0.035,0.055,"1A.2.57",0.05,2017
"","",NA,NA,NA,"1A.2.62",5,0.004,0.007,"1A.2",0.045,2025
"2025_Sep","1K.1","87","0.06","0.088","1K.1",79,0.057,0.083,"1K.1.6",0.073,2016
"","",NA,NA,NA,"1K.1.6",8,0.051,0.09,"1K.1",0.073,2018
"2025_Sep","1A.10","111","0.031","0.066","1A.10",84,0.011,0.027,"1A.60",0.038,2017
"","",NA,NA,NA,"1A.10.63",27,0.025,0.043,"1A.12",0.061,2024
"2025_Dec","1C.2","1228","0.038","0.06","1C.2",1192,0.038,0.06,"1C.2.39",0.056,2018
"","","","","","1C.2.43",36,0.011,0.02,"1C.2",0.048,2024
"2025_Dec","1H.11","717","0.033","0.057","1H.11",668,0.031,0.055,"1E.1",0.134,2018
"","","","","","1H.11.56",49,0.021,0.033,"1H.11",0.045,2022
"2025_Dec","1H.48","151","0.039","0.071","1H.48",145,0.037,0.071,"1H.48.57",0.051,2015
"","","","","","1H.48.57",6,0.013,0.022,"1H.48",0.051,2024
"2025_Dec","1H.36","54","0.035","0.065","1H.36",49,0.03,0.056,"1H.36.58",0.058,2016
"","","","","","1H.36.58",5,0.034,0.065,"1H.36",0.058,2023
